Sample,Amplicon,Cycle,Cycle Type,Cycle Size (bp),Cycle Breakpoint Count,Cycle Chromosome Count,Cycle Regions List,Cycle Paired Ends List,Cycle TPR,Cycle TP BEs,Cycle FPR,Cycle FP BEs,Cycle PFNR,Cycle PFN BEs,Cycle MEB,Cycle Mapping Error Breakends,Cycle Unmappable Reasons,Small Deletions Count,Cycle Genes Info,Cycle Genes List,Cycle ESB,Cycle Type Boolean,Cycle Cluster Assignment,Selection Score,Confidence
CURTIS_H000396_T01_01_WG01,1,14,linear,1908242,20,4,"[('12', 71503199, 71406748), ('12', 73527015, 73515625), ('12', 73531383, 73641173), ('12', 73437458, 73443604), ('12', 71742219, 72218706), ('3', 73742573, 73772945), ('3', 73604355, 73674892), ('3', 78348965, 78341915), ('3', 78285429, 78303042), ('3', 74037450, 74140614), ('3', 77543100, 77520035), ('3', 77835701, 77837019), ('11', 77093009, 76896528), ('11', 79968941, 79967031), ('11', 68005609, 68004909), ('11', 80789771, 80883032), ('11', 80893330, 80474249), ('11', 79901975, 79902818), ('11', 68846672, 69083399), ('10', 55009693, 55003839)]","[('12', 71406748, '3', 73742573), ('3', 73772945, '12', 73527015), ('12', 73515625, '12', 73531383), ('12', 73641173, '3', 73604355), ('3', 73674892, '3', 78348965), ('3', 78341915, '3', 78285429), ('3', 78303042, '3', 74037450), ('3', 74140614, '3', 77543100), ('3', 77520035, '3', 77835701), ('3', 77837019, '12', 73437458), ('12', 73443604, '12', 71742219), ('12', 72218706, '11', 77093009), ('11', 76896528, '11', 79968941), ('11', 79967031, '11', 68005609), ('11', 68004909, '11', 80789771), ('11', 80883032, '10', 55009693), ('10', 55003839, '11', 80893330), ('11', 80474249, '11', 79901975), ('11', 79902818, '11', 68846672), ('11', 69083399, '12', 71503199)]",0.6,"[('12', 73515625, '12', 73531383), ('3', 73674892, '3', 78348965), ('3', 78341915, '3', 78285429), ('3', 78303042, '3', 74037450), ('3', 74140614, '3', 77543100), ('3', 77520035, '3', 77835701), ('12', 73443604, '12', 71742219), ('11', 76896528, '11', 79968941), ('11', 79967031, '11', 68005609), ('11', 68004909, '11', 80789771), ('11', 80474249, '11', 79901975), ('11', 79902818, '11', 68846672)]",0.4,"[('12', 71406748, '3', 73742573), ('3', 73772945, '12', 73527015), ('12', 73641173, '3', 73604355), ('3', 77837019, '12', 73437458), ('12', 72218706, '11', 77093009), ('11', 80883032, '10', 55009693), ('10', 55003839, '11', 80893330), ('11', 69083399, '12', 71503199)]",0.0,[],0.0,[],[],0,{},[],0.0,0,2,0.5,high
CURTIS_H000396_T01_01_WG01,1,15,linear,1501794,2,1,"[('4', 76990646, 75648881), ('4', 75642731, 75482700)]","[('4', 75648881, '4', 75642731), ('4', 75482700, '4', 76990646)]",0.0,[],1.0,"[('4', 75648881, '4', 75642731), ('4', 75482700, '4', 76990646)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000396_T01_01_WG01,1,16,linear,10637,1,1,"[('8', 110888645, 110878007)]","[('8', 110878007, '8', 110888645)]",0.0,[],1.0,"[('8', 110878007, '8', 110888645)]",0.5,"[('8', 110878007, '8', 125592444)]",0.0,[],[],0,{},[],0.0,0,0,1.75,medium
CURTIS_H000400_T01_01_WG01,1,1,circular,866099,2,1,"[('17', 57919191, 58411914), ('17', 58414024, 58787398)]","[('17', 58411914, '17', 58414024), ('17', 58787398, '17', 57919191)]",0.5,"[('17', 58787398, '17', 57919191)]",0.5,"[('17', 58411914, '17', 58414024)]",0.0,[],0.0,[],[],0,"{'17': {'PPM1D': {'type': ['oncogene'], 'loc': ('58677544', '58741849')}}}",['PPM1D'],0.0,1,2,0.5,high
CURTIS_H000400_T01_01_WG01,1,2,linear,30659,1,1,"[('17', 72122162, 72091502)]","[('17', 72091502, '17', 72122162)]",0.0,[],1.0,"[('17', 72091502, '17', 72122162)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000402_T01_01_WG01,1,1,linear,579037,2,1,"[('11', 69719399, 69401402), ('11', 69400842, 69139800)]","[('11', 69401402, '11', 69400842), ('11', 69139800, '11', 69719399)]",0.0,[],1.0,"[('11', 69139800, '11', 69719399)]",0.0,[],0.0,[],[],1,"{'11': {'CCND1': {'type': ['oncogene', ' fusion'], 'loc': ('69455855', '69469242')}}}",['CCND1'],0.0,0,0,1.5,medium
CURTIS_H000405_T01_01_WG01,1,1,linear,38399,1,1,"[('1', 161439900, 161401500)]","[('1', 161401500, '1', 161439900)]",0.0,[],1.0,"[('1', 161401500, '1', 161439900)]",0.0,[],1.0,"[('1', 161401500), ('1', 161439900)]","['High_Signal_Region', 'High_Signal_Region']",0,{},[],0.0,0,1,2.0625,low
CURTIS_H000405_T01_01_WG01,1,2,circular,692,2,2,"[('11', 76903871, 76904504), ('19', 14706785, 14706842)]","[('11', 76904504, '19', 14706785), ('19', 14706842, '11', 76903871)]",0.0,[],1.0,"[('11', 76904504, '19', 14706785), ('19', 14706842, '11', 76903871)]",0.0,[],0.0,[],[],0,{},[],0.0,1,0,1.5,medium
CURTIS_H000405_T01_01_WG01,1,3,circular,5713,1,1,"[('1', 206282774, 206288486)]","[('1', 206288486, '1', 206282774)]",0.0,[],1.0,"[('1', 206288486, '1', 206282774)]",0.0,[],0.0,[],[],0,{},[],0.0,1,0,1.5,medium
CURTIS_H000405_T01_01_WG01,1,4,linear,140854,2,1,"[('1', 218035782, 218035591), ('1', 206323439, 206182774)]","[('1', 218035591, '1', 206323439), ('1', 206182774, '1', 218035782)]",0.5,"[('1', 218035591, '1', 206323439)]",0.5,"[('1', 206182774, '1', 218035782)]",0.0,[],0.0,[],[],0,{},[],0.0,0,2,0.5,high
CURTIS_H000405_T01_01_WG01,1,5,linear,10719,1,1,"[('19', 14707505, 14696785)]","[('19', 14696785, '19', 14707505)]",0.0,[],1.0,"[('19', 14696785, '19', 14707505)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000407_T01_01_WG01,1,1,circular,260228,2,1,"[('11', 38569332, 38815300), ('11', 38829684, 38843942)]","[('11', 38815300, '11', 38829684), ('11', 38843942, '11', 38569332)]",0.5,"[('11', 38843942, '11', 38569332)]",0.5,"[('11', 38815300, '11', 38829684)]",0.0,[],0.0,[],[],0,{},[],0.0,1,2,0.5,high
CURTIS_H000407_T01_01_WG01,2,1,circular,1229612,2,1,"[('1', 114645953, 115263966), ('1', 115265966, 114654367)]","[('1', 115263966, '1', 115265966), ('1', 114654367, '1', 114645953)]",0.0,[],1.0,"[('1', 114654367, '1', 114645953)]",0.0,[],0.0,[],[],1,"{'1': {'NRAS': {'type': ['oncogene'], 'loc': ('115247090', '115259515')}, 'TRIM33': {'type': ['TSG', ' fusion'], 'loc': ('114935399', '115053781')}}}","['NRAS', 'NRAS', 'TRIM33', 'TRIM33']",0.0,1,0,1.5,medium
CURTIS_H000407_T01_01_WG01,2,2,circular,1532160,2,1,"[('1', 113884040, 114654353), ('1', 114646030, 113884183)]","[('1', 114654353, '1', 114646030), ('1', 113884183, '1', 113884040)]",0.0,[],1.0,"[('1', 114654353, '1', 114646030)]",0.0,[],0.0,[],[],1,{},[],0.0,1,0,1.5,medium
CURTIS_H000407_T01_01_WG01,2,3,circular,918888,3,1,"[('1', 114835419, 115297306), ('1', 115296092, 115207000), ('1', 115204509, 114836599)]","[('1', 115297306, '1', 115296092), ('1', 115207000, '1', 115204509), ('1', 114836599, '1', 114835419)]",0.0,[],1.0,"[('1', 115207000, '1', 115204509)]",0.0,[],0.0,[],[],2,"{'1': {'NRAS': {'type': ['oncogene'], 'loc': ('115247090', '115259515')}, 'TRIM33': {'type': ['TSG', ' fusion'], 'loc': ('114935399', '115053781')}}}","['NRAS', 'NRAS', 'TRIM33', 'TRIM33']",0.0,1,0,1.5,medium
CURTIS_H000409_T01_01_WG01,1,1,circular,44457,1,1,"[('X', 23812207, 23856663)]","[('X', 23856663, 'X', 23812207)]",1.0,"[('X', 23856663, 'X', 23812207)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,2,0.5,high
CURTIS_H000409_T01_01_WG01,1,2,linear,35398,1,1,"[('X', 23854499, 23819100)]","[('X', 23819100, 'X', 23854499)]",0.0,[],1.0,"[('X', 23819100, 'X', 23854499)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000409_T01_01_WG01,1,3,circular,172167,1,1,"[('X', 23729914, 23902080)]","[('X', 23902080, 'X', 23729914)]",1.0,"[('X', 23902080, 'X', 23729914)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,2,0.5,high
CURTIS_H000409_T01_01_WG01,1,4,linear,1357085,1,1,"[('1', 154128589, 152771503)]","[('1', 152771503, '1', 154128589)]",0.0,[],1.0,"[('1', 152771503, '1', 154128589)]",0.0,[],0.0,[],[],0,"{'1': {'S100A7': {'type': ['fusion'], 'loc': ('153430220', '153433177')}}}",['S100A7'],0.0,0,0,1.5,medium
CURTIS_H000409_T01_01_WG01,2,1,circular,200219,1,1,"[('4', 70932633, 71132851)]","[('4', 71132851, '4', 70932633)]",1.0,"[('4', 71132851, '4', 70932633)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,2,0.5,high
CURTIS_H000412_T01_01_WG01,3,1,linear,537,1,1,"[('Y', 2845269, 2844731)]","[('Y', 2844731, 'Y', 2845269)]",0.0,[],1.0,"[('Y', 2844731, 'Y', 2845269)]",0.0,[],0.0,[],[],0,{},[],1.0,0,0,1.875,medium
CURTIS_H000412_T01_01_WG01,3,2,linear,126298,1,1,"[('17', 36411599, 36285300)]","[('17', 36285300, '17', 36411599)]",0.0,[],1.0,"[('17', 36285300, '17', 36411599)]",0.0,[],1.0,"[('17', 36285300)]",['High_Signal_Region'],0,{},[],0.0,0,1,2.0625,low
CURTIS_H000412_T01_01_WG01,3,3,linear,330536,1,1,"[('17', 31487463, 31156926)]","[('17', 31156926, '17', 31487463)]",0.0,[],1.0,"[('17', 31156926, '17', 31487463)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000412_T01_01_WG01,2,1,linear,30537,1,1,"[('12', 58211017, 58180479)]","[('12', 58180479, '12', 58211017)]",0.0,[],1.0,"[('12', 58180479, '12', 58211017)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000412_T01_01_WG01,2,2,linear,529843,1,1,"[('17', 34367947, 33838103)]","[('17', 33838103, '17', 34367947)]",0.0,[],1.0,"[('17', 33838103, '17', 34367947)]",0.0,[],0.0,[],[],0,"{'17': {'TAF15': {'type': ['oncogene', ' fusion'], 'loc': ('34136459', '34191619')}}}",['TAF15'],0.0,0,0,1.5,medium
CURTIS_H000412_T01_01_WG01,1,1,linear,1022481,1,1,"[('17', 33476151, 32453669)]","[('17', 32453669, '17', 33476151)]",0.0,[],1.0,"[('17', 32453669, '17', 33476151)]",0.5,"[('17', 32453669, '17', 31542801)]",0.0,[],[],0,{},[],0.0,0,0,1.75,medium
CURTIS_H000414_T01_01_WG01,2,1,linear,110569,1,1,"[('1', 120656102, 120545532)]","[('1', 120545532, '1', 120656102)]",0.0,[],1.0,"[('1', 120545532, '1', 120656102)]",0.0,[],1.0,"[('1', 120545532), ('1', 120656102)]","['High_Signal_Region', 'High_Signal_Region']",0,{},[],0.0,0,1,2.0625,low
CURTIS_H000414_T01_01_WG01,2,2,linear,210570,1,1,"[('1', 119885089, 119674518)]","[('1', 119674518, '1', 119885089)]",0.0,[],1.0,"[('1', 119674518, '1', 119885089)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000414_T01_01_WG01,2,3,linear,10570,1,1,"[('1', 119598319, 119587748)]","[('1', 119587748, '1', 119598319)]",0.0,[],1.0,"[('1', 119587748, '1', 119598319)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000414_T01_01_WG01,1,1,linear,102644,1,1,"[('4', 75425123, 75322478)]","[('4', 75322478, '4', 75425123)]",0.0,[],1.0,"[('4', 75322478, '4', 75425123)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000415_T01_01_WG01,1,1,linear,869181,2,2,"[('11', 69713099, 69466536), ('17', 58732621, 58110001)]","[('11', 69466536, '17', 58732621), ('17', 58110001, '11', 69713099)]",0.0,[],1.0,"[('11', 69466536, '17', 58732621), ('17', 58110001, '11', 69713099)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000415_T01_01_WG01,1,2,circular,267179,2,2,"[('11', 69275681, 69492598), ('17', 29097730, 29047468)]","[('11', 69492598, '17', 29097730), ('17', 29047468, '11', 69275681)]",0.0,[],1.0,"[('11', 69492598, '17', 29097730), ('17', 29047468, '11', 69275681)]",0.0,[],0.0,[],[],0,"{'11': {'CCND1': {'type': ['oncogene', ' fusion'], 'loc': ('69455855', '69469242')}}}",['CCND1'],0.0,1,0,1.5,medium
CURTIS_H000415_T01_01_WG01,1,3,circular,130,2,2,"[('11', 76903871, 76903948), ('19', 14706785, 14706836)]","[('11', 76903948, '19', 14706785), ('19', 14706836, '11', 76903871)]",0.0,[],1.0,"[('11', 76903948, '19', 14706785), ('19', 14706836, '11', 76903871)]",0.0,[],0.0,[],[],0,{},[],1.0,1,0,1.875,medium
CURTIS_H000415_T01_01_WG01,1,4,linear,1037881,1,1,"[('17', 58083599, 57045717)]","[('17', 57045717, '17', 58083599)]",0.0,[],1.0,"[('17', 57045717, '17', 58083599)]",0.5,"[('17', 57045717, '17', 30788747)]",0.0,[],[],0,"{'17': {'CLTC': {'type': ['TSG', ' fusion'], 'loc': ('57697219', '57773671')}}}",['CLTC'],0.0,0,0,1.75,medium
CURTIS_H000415_T01_01_WG01,1,5,circular,6207,1,1,"[('17', 57795912, 57802118)]","[('17', 57802118, '17', 57795912)]",0.0,[],1.0,"[('17', 57802118, '17', 57795912)]",0.0,[],0.0,[],[],0,{},[],0.0,1,0,1.5,medium
CURTIS_H000415_T01_01_WG01,1,6,circular,18771,4,1,"[('17', 29097800, 29114009), ('17', 61122551, 61123926), ('17', 61123379, 61122544), ('17', 29098501, 29098149)]","[('17', 29114009, '17', 61122551), ('17', 61123926, '17', 61123379), ('17', 61122544, '17', 29098501), ('17', 29098149, '17', 29097800)]",1.0,"[('17', 29114009, '17', 61122551), ('17', 61122544, '17', 29098501)]",0.0,[],0.0,[],0.0,[],[],2,{},[],0.0,1,2,0.5,high
CURTIS_H000415_T01_01_WG01,1,7,linear,4217087,7,2,"[('17', 29233759, 29842697), ('17', 33081704, 33329168), ('17', 37328595, 38114555), ('17', 58174424, 57802440), ('17', 61636396, 61123229), ('17', 57795965, 58840545), ('11', 70423793, 69778800)]","[('17', 29842697, '17', 33081704), ('17', 33329168, '17', 37328595), ('17', 38114555, '17', 58174424), ('17', 57802440, '17', 61636396), ('17', 61123229, '17', 57795965), ('17', 58840545, '11', 70423793), ('11', 69778800, '17', 29233759)]",0.2857142857142857,"[('17', 29842697, '17', 33081704), ('17', 33329168, '17', 37328595)]",0.7142857142857143,"[('17', 38114555, '17', 58174424), ('17', 57802440, '17', 61636396), ('17', 61123229, '17', 57795965), ('17', 58840545, '11', 70423793), ('11', 69778800, '17', 29233759)]",0.0,[],0.0,[],[],0,"{'17': {'CDK12': {'type': ['TSG'], 'loc': ('37617764', '37721160')}, 'ERBB2': {'type': ['oncogene', ' fusion'], 'loc': ('37844167', '37886679')}, 'IKZF3': {'type': ['oncogene', ' TSG', ' fusion'], 'loc': ('37921198', '38020441')}, 'NF1': {'type': ['TSG', ' fusion'], 'loc': ('29421945', '29709134')}, 'PPM1D': {'type': ['oncogene'], 'loc': ('58677544', '58741849')}}, '11': {'FADD': {'type': [''], 'loc': ('70049269', '70053496')}}}","['CDK12', 'ERBB2', 'IKZF3', 'NF1', 'PPM1D', 'FADD']",1.0,0,0,1.375,medium
